source,target
soynefelibato,juanitamolano
isabelporto30,repnicoguerrero
Marion1871,F_PS86
eidanru,SCarrascalP
Bella623,AntanasMockus
SaraRueda1,GustavoBolivar
lucigonzalezp16,paoguerreroi
vidarte62,ghitis
rsulaIguarn2,jaimealfonso71
vivanlasflores,Ariasvilla
RMooniicaa,EugenioPrieto
rakeld12341234,ierrejon
Yinapedraza,angelamrobledo
lolicastropazos,tone_corunha
andrescantorco,Valen_Rincon11
elsamescobar,ClaudiaLopez
benhurmoli,charoguerra
ManuelaCordoba4,yuyu_guerrero
iJoshJack,GustavoBolivar
auramaria75,JERobledo
UtopiaABorrero,alejaoficial
fulltimepress16,JERobledo
Smilingitsfree,LuFer6219
rodrigososat,AntanasMockus
PaulaTrujilloPT,malbarracin
EspinelBurgos,_SilviaRo_
Josecamelo7,ghitis
Nubecita2600,ghitis
cafgeinco,Corderitadeyave
HyVGroup,Corderitadeyave
CheersCompany,Corderitadeyave
EluinG,MargaritaRepo
_Official_CaTa,SoyAndresParra
cabralesatrid,JavierEnBogota
Rhejida,jhontbh
migueljneira,Cafsaavedra
benhurmoli,charoguerra
tovaralejandra2,alejaoficial
DiwoLA,ghitis
LUISGCORREAL,GustavoBolivar
garavito_jc,mclacouture
JuanRuizF,altereddie
Andreamejia10,charoguerra
leonietof,GustavoBolivar
stella_acuario,comunacuerdo
CEIDDosquebrad1,JERobledo
mariamariju,jmkarg
FROILANZ,juanmanuelgalan
dariobello26,TrinoYQue
reginanuniez,mclacouture
Olgwshka,todoalnatural
UnAtalayero,ghitis
FGD96229047,ghitis
octaviotorog,MCarolinaHoyosT
andavila197926,JERobledo
titamara10,SalcedoRamos
octaviotorog,juanmanuelgalan
MYM9387,jmkarg
simesar,JERobledo
_Official_CaTa,BastianSt
Jolmez,LuchyRamirez01
el_chacal1,LSanchezAndres
juanitadelgadoj,JERobledo
auramaria75,JERobledo
Carolina26a,todoalnatural
jrobertoacosta1,JERobledo
fulltimepress16,juanmanuelgalan
825Jpg,altereddie
ambienteysoc,altereddie
cabralesatrid,JavierEnBogota
Barreja,juanaafanador1
Martabeltranj,Ariasvilla
alberto95302143,otraarroba
DiegoCa50999287,AntanasMockus
educardenal11,ghitis
carlosandprada,Andresc1927
kelytatiana,pekermansquadd
anviazca,PaulaGaviriaB
aveprofetica,123SalvoPatria
jfcjimenez,barreragranados
juanjospinad,paoguerreroi
vivicarmonav,AdrianCantorR
ccorazondemiatr,reymonsoft_crbz
JuanMesaGuerra,charoguerra
GomezJaimelias,PachoSantosC
sharonpr03,FetzeWeerstra
brianlaras,GustavoBolivar
SBolivarVE,jmkarg
Sandgarzon_,MartinSantosR
Naritamez,ierrejon
maldonadoruben,DonDieguito
nestorvaron1,ChiribiS
PatriciaNore,ANZORC1
CheersCompany,KpDiana
HyVGroup,KpDiana
cafgeinco,KpDiana
brianlaras,Maorodriguezgon
ivan31E,GustavoBolivar
EdwinElRojo,LSanchezAndres
louislikehome,BastianSt
ContraGodarria,lina_isabele
israellopezhi,JERobledo
profmariahelena,MarnIris
JuannisOrtiz,lorena_angelito
profmariahelena,CPDHColombia
decorrea2,felipelabarrera
EpaLaPaz,MartinSantosR
natiroa,piedadcordoba
CarolinaR___,JuanOspinaV
QuinteroCalle,Lopezandresf15
Psuarez_27,MCarolinaHoyosT
cabmartha,MCarolinaHoyosT
Sandgarzon_,efraintorresmon
Analu_Re,SCarrascalP
rebeecahdz,GamboaSebas
yohisitasilva,AABenedetti
cristianbagett,altereddie
AnikinGil,eduvirtualpol
agranados1973,natiibedoya
BolivarMdO,subcantante
EpaLaPaz,luisfebarrera
giovanny_lemus,AntanasMockus
diegonhdiaz,Sheraapovva
franzmahecha,jattinjavier
Coruncano,ghitis
erikavalencia03,EmeRomero_
Criistrres,guillerminamira
klaupoga,rbaquero80
SofiaMurphyS,JuanGaviriaM
octaviotorog,alejojaramilloh
pelaezsalas,lauzuluf
john02cardenal,GustavoBolivar
KariRodriiguez,AlexBrittoO
franzmahecha,ClaudiaLopez
EpaLaPaz,luisfebarrera
cheitopo,charoguerra
lorekatabernalp,Mariia_Monica
_Official_CaTa,JERobledo
CheersCompany,KpDiana
cafgeinco,KpDiana
HyVGroup,KpDiana
jsalgadov,JERobledo
EpaLaPaz,luisfo1951
DianaLuzO,DylanHColombia
hrc_kaliche,AntanasMockus
RigobertoPalomi,GermanEspejo_
CamiloRomeroQ,Lopezandresf15
SenorCaicedo,lina_isabele
EdwinElRojo,GustavoBolivar
cafgeinco,caritoopina
CheersCompany,caritoopina
HyVGroup,caritoopina
villadeleyva,AntanasMockus
deyberska,GustavoBolivar
Aurissuarez,Tatacabello
diazflorezjohn,acebnacional
AntioquiaNC,camiloromero
dijuanca1,natiibedoya
EdwinElRojo,JLCastroCordoba
PaolaGiraldoSil,GustavoBolivar
EdwinElRojo,Si_Conservador
ConFisCol,JERobledo
mily_at,GustavoBolivar
vivianabran,Lopezandresf15
brianBallstas,GustavoBolivar
simeimporta2,alejojaramilloh
Ccajar,OrgsColombia
EdwinElRojo,BastianSt
fabibafe,MCarolinaHoyosT
reginanuniez,altereddie
alercilo,JERobledo
karen_salazarc,Alfa_contreras
Ariasvilla,MCarolinaHoyosT
nomasguerracol,lina_isabele
CFRB1989,GustavoBolivar
Ed_Albarracin,lauuraandrea
haydeecarb,alejaoficial
mauritoconti08,ierrejon
felipehs19,SalcedoRamos
Orson_IBF,JocheTous
salmoooooon_,garciacpaula
Mariagc_10,GustavoBolivar
CARLOSJCORTESN,marchapatriota
carlozda20,subcantante
RaulEscobar1154,natiibedoya
cafgeinco,MisterioMagico
HyVGroup,MisterioMagico
CheersCompany,MisterioMagico
MariaMadacha111,MONYDIAADIA
EdwinElRojo,subcantante
jjuanchito71,saguzchiquis
simesar,GustavoBolivar
joseguillermooc,AlejandroFonte
TaoPsique,SoyAndresParra
bibego,BastianSt
Gerdalomc,Gerdalomc
_Official_CaTa,AleAbuchaibe
gomezs33,AntanasMockus
Marianuncaesta,alejaoficial
LlenodeBolardos,Ariasvilla
CheersCompany,Kattybcn
cafgeinco,Kattybcn
HyVGroup,Kattybcn
carohenriquez,Marion1871
ThaniaVegaP,YAMBITARA
asiparece,lina_isabele
